GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sistema-barberia,com.pato.config,SecurityConfig,0,192,0,0,0,28,0,8,0,8
sistema-barberia,com.pato.config,ModelMapperConfig,0,7,0,0,0,2,0,2,0,2
sistema-barberia,com.pato.config,CorsGlobalConfig,0,42,0,0,0,10,0,2,0,2
sistema-barberia,com.pato.dto.response,AuthResponseDTO,0,15,0,0,0,1,0,1,0,1
sistema-barberia,com.pato.utils,JwtUtils,4,79,0,0,1,25,1,5,1,5
sistema-barberia,com.pato,SistemaBarberiaApplication,5,3,0,0,2,1,1,1,1,1
sistema-barberia,com.pato.helpers.mappers,TurnoMapper,0,68,0,0,0,23,0,2,0,2
sistema-barberia,com.pato.helpers.mappers,ServicioMapper,0,14,0,0,0,2,0,2,0,2
sistema-barberia,com.pato.helpers.mappers,BarberoMapper,0,14,0,0,0,2,0,2,0,2
sistema-barberia,com.pato.service.implementations,UserService,0,46,0,0,0,10,0,8,0,8
sistema-barberia,com.pato.service.implementations,ServicioService,2,105,1,1,0,23,1,7,0,7
sistema-barberia,com.pato.service.implementations,RoleService,0,26,0,0,0,6,0,5,0,5
sistema-barberia,com.pato.service.implementations,BarberoService,2,105,1,1,0,23,1,7,0,7
sistema-barberia,com.pato.service.implementations,TurnoService,0,259,0,0,0,65,0,13,0,13
sistema-barberia,com.pato.service.implementations,EmailService,1,148,1,1,0,34,1,3,0,3
sistema-barberia,com.pato.service.implementations,UserDetailsServiceImp,5,127,1,3,1,25,1,8,0,7
sistema-barberia,com.pato.exceptions,GlobalExceptionHandler,34,50,1,1,7,12,3,4,2,4
sistema-barberia,com.pato.helpers.security,RoleBasedMapper,12,0,2,0,3,0,2,0,1,0
sistema-barberia,com.pato.helpers.security,JwtRoleValidator,44,3,10,0,6,1,8,1,3,1
sistema-barberia,com.pato.helpers.security,JwtUserProvider,16,3,4,0,4,1,3,1,1,1
sistema-barberia,com.pato.model.enums,EstadoTurno,0,27,0,0,0,5,0,1,0,1
sistema-barberia,com.pato.scheduler,TurnoReminderScheduler,60,35,1,1,14,9,1,1,0,1
sistema-barberia,com.pato.scheduler,TurnoScheduler,12,28,3,1,3,7,2,1,0,1
sistema-barberia,com.pato.controller,TurnoController,0,46,0,0,0,7,0,7,0,7
sistema-barberia,com.pato.controller,BarberoController,0,34,0,0,0,6,0,5,0,5
sistema-barberia,com.pato.controller,AuthenticationController,0,11,0,0,0,2,0,2,0,2
sistema-barberia,com.pato.controller,ServicioController,0,34,0,0,0,6,0,5,0,5
sistema-barberia,com.pato.controller,UserController,0,56,0,6,0,14,0,4,0,1
sistema-barberia,com.pato.dto.request,AuthLoginRequestDTO,0,9,0,0,0,1,0,1,0,1
sistema-barberia,com.pato.validation,TurnoValidation,5,110,2,18,1,27,2,12,0,4
sistema-barberia,com.pato.validation,BarberoValidation,10,13,2,2,2,4,2,2,0,2
sistema-barberia,com.pato.validation,ServicioValidation,10,13,2,2,2,4,2,2,0,2
sistema-barberia,com.pato.validation,HoraValidaValidator,4,15,3,3,0,5,2,3,0,2
sistema-barberia,com.pato.config.filter,JwtTokenValidator,0,70,0,4,0,21,0,4,0,2
